original,target,category,note
Body.ChargeLid.IsOpen,Vehicle.Body.Bridge.Body.ChargeLid.IsOpen,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Chime.IsActive,Vehicle.Body.Bridge.Body.Chime.IsActive,project-namespace,aggregate or actuator-intent signal; no VSS equivalent
Body.Chime.IsSounding,Vehicle.Body.Bridge.Body.Chime.IsSounding,project-namespace,aggregate or actuator-intent signal; no VSS equivalent
Body.Connectivity.BleLock,Vehicle.Body.Bridge.Body.Connectivity.BleLock,project-namespace,project HMI connectivity flag; no VSS equivalent
Body.Connectivity.NfcCardPresent,Vehicle.Body.Bridge.Body.Connectivity.NfcCardPresent,project-namespace,project HMI connectivity flag; no VSS equivalent
Body.Connectivity.NfcPhonePresent,Vehicle.Body.Bridge.Body.Connectivity.NfcPhonePresent,project-namespace,project HMI connectivity flag; no VSS equivalent
Body.Connectivity.RemoteLock,Vehicle.Body.Bridge.Body.Connectivity.RemoteLock,project-namespace,project HMI connectivity flag; no VSS equivalent
Body.DoesNotExist,Vehicle.Body.Bridge.Body.DoesNotExist,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Doors.AutoRelock.IsArmed,Vehicle.Body.Bridge.Body.Doors.AutoRelock.IsArmed,project-namespace,arbiter command/status signal; no VSS equivalent
Body.Doors.AutoRelock.TimeoutSeconds,Vehicle.Body.Bridge.Body.Doors.AutoRelock.TimeoutSeconds,project-namespace,arbiter command/status signal; no VSS equivalent
Body.Doors.CentralLock.Command,Vehicle.Body.Bridge.Body.Doors.CentralLock.Command,project-namespace,arbiter command/status signal; no VSS equivalent
Body.Doors.CentralLock.FeedbackRequest,Vehicle.Body.Bridge.Body.Doors.CentralLock.FeedbackRequest,project-namespace,arbiter command/status signal; no VSS equivalent
Body.Doors.Row1.Left.CloseCmd,Vehicle.Cabin.Door.Row1.DriverSide.CloseCmd,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Left.Handle.Inside.IsPulled,Vehicle.Cabin.Door.Row1.DriverSide.Handle.Inside.IsPulled,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Left.Handle.Outside.IsPulled,Vehicle.Cabin.Door.Row1.DriverSide.Handle.Outside.IsPulled,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Left.Handle.Outside.LockPad.IsPressed,Vehicle.Cabin.Door.Row1.DriverSide.Handle.Outside.LockPad.IsPressed,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Left.IsChildLockActive,Vehicle.Cabin.Door.Row1.DriverSide.IsChildLockActive,canonical-door-side-rename,Row1.Left → Row1.DriverSide (LHD assumed; flips on RHD)
Body.Doors.Row1.Left.IsDoubleLocked,Vehicle.Cabin.Door.Row1.DriverSide.IsDoubleLocked,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Left.IsLocked,Vehicle.Cabin.Door.Row1.DriverSide.IsLocked,canonical-door-side-rename,Row1.Left → Row1.DriverSide (LHD assumed; flips on RHD)
Body.Doors.Row1.Left.IsOpen,Vehicle.Cabin.Door.Row1.DriverSide.IsOpen,canonical-door-side-rename,Row1.Left → Row1.DriverSide (LHD assumed; flips on RHD)
Body.Doors.Row1.Left.IsRemoved,Vehicle.Cabin.Door.Row1.DriverSide.IsRemoved,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Left.Latch.IsLatched,Vehicle.Cabin.Door.Row1.DriverSide.Latch.IsLatched,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Left.LatchStatus,Vehicle.Cabin.Door.Row1.DriverSide.LatchStatus,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Left.Soldier.IsUnlocked,Vehicle.Cabin.Door.Row1.DriverSide.Soldier.IsUnlocked,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Left.Window.MotorDirection,Vehicle.Cabin.Door.Row1.DriverSide.Window.MotorDirection,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Left.Window.Position,Vehicle.Cabin.Door.Row1.DriverSide.Window.Position,canonical-door-side-rename,Row1.Left → Row1.DriverSide (LHD assumed; flips on RHD)
Body.Doors.Row1.Right.CloseCmd,Vehicle.Cabin.Door.Row1.PassengerSide.CloseCmd,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Right.Handle.Inside.IsPulled,Vehicle.Cabin.Door.Row1.PassengerSide.Handle.Inside.IsPulled,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Right.Handle.Outside.IsPulled,Vehicle.Cabin.Door.Row1.PassengerSide.Handle.Outside.IsPulled,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Right.Handle.Outside.LockPad.IsPressed,Vehicle.Cabin.Door.Row1.PassengerSide.Handle.Outside.LockPad.IsPressed,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Right.IsChildLockActive,Vehicle.Cabin.Door.Row1.PassengerSide.IsChildLockActive,canonical-door-side-rename,Row1.Right → Row1.PassengerSide (LHD assumed; flips on RHD)
Body.Doors.Row1.Right.IsDoubleLocked,Vehicle.Cabin.Door.Row1.PassengerSide.IsDoubleLocked,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Right.IsLocked,Vehicle.Cabin.Door.Row1.PassengerSide.IsLocked,canonical-door-side-rename,Row1.Right → Row1.PassengerSide (LHD assumed; flips on RHD)
Body.Doors.Row1.Right.IsOpen,Vehicle.Cabin.Door.Row1.PassengerSide.IsOpen,canonical-door-side-rename,Row1.Right → Row1.PassengerSide (LHD assumed; flips on RHD)
Body.Doors.Row1.Right.IsRemoved,Vehicle.Cabin.Door.Row1.PassengerSide.IsRemoved,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Right.Latch.IsLatched,Vehicle.Cabin.Door.Row1.PassengerSide.Latch.IsLatched,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Right.LatchStatus,Vehicle.Cabin.Door.Row1.PassengerSide.LatchStatus,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Right.Soldier.IsUnlocked,Vehicle.Cabin.Door.Row1.PassengerSide.Soldier.IsUnlocked,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Right.Window.MotorDirection,Vehicle.Cabin.Door.Row1.PassengerSide.Window.MotorDirection,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row1.Right.Window.Position,Vehicle.Cabin.Door.Row1.PassengerSide.Window.Position,canonical-door-side-rename,Row1.Right → Row1.PassengerSide (LHD assumed; flips on RHD)
Body.Doors.Row2.Left.CloseCmd,Vehicle.Cabin.Door.Row2.DriverSide.CloseCmd,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row2.Left.Handle.Inside.IsPulled,Vehicle.Cabin.Door.Row2.DriverSide.Handle.Inside.IsPulled,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row2.Left.Handle.Outside.IsPulled,Vehicle.Cabin.Door.Row2.DriverSide.Handle.Outside.IsPulled,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row2.Left.IsChildLockActive,Vehicle.Cabin.Door.Row2.DriverSide.IsChildLockActive,canonical-door-side-rename,Row2.Left → Row2.DriverSide (LHD assumed; flips on RHD)
Body.Doors.Row2.Left.IsDoubleLocked,Vehicle.Cabin.Door.Row2.DriverSide.IsDoubleLocked,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row2.Left.IsLocked,Vehicle.Cabin.Door.Row2.DriverSide.IsLocked,canonical-door-side-rename,Row2.Left → Row2.DriverSide (LHD assumed; flips on RHD)
